,[CH2],[C],[CH2][C]([CH3])([CH3])[CH3],[C][CH3],[CH2][OH],[CH2][CH2][CH2],[CH2][CH2][CH],[CH2][CH]([CH2])[OH],[CH2][CH2][CH2][CH2][CH2],[O],[CH2][CH2][CH2][CH2][O],[CH2][O][CH2][CH2][OH],[O][CH2][CH2][OH],[N],[CH2][CH2][N],[F],[C][F],[C][C]([C])([F])[F],[C][C]([F])([F])[C]([F])([F])[C]([C])([F])[F],[C][CH]([CH])[OH],[CH][CH]([CH])[O],[c],[C][CH2][C],[c][C]([CH2])([CH3])[CH3],[cH][c]([cH])[C],[c][cH][cH],[cH][c]([cH])[O],[c][O][CH2],[C][CH2][C]([CH3])([CH3])[CH3],[c][C]([CH3])([CH3])[CH2][C]([CH3])([CH3])[CH3],[cH][c]([cH])[C]([CH3])([CH3])[CH2][C],[cH][cH][c]([cH][cH])[C]([CH2])([CH3])[CH3],[c][cH][cH][c]([cH])[C],[c][cH][cH][c]([cH])[O],[cH][cH][c]([cH][cH])[O][CH2],[cH][c]([cH])[O][CH2][CH2],[c][O][CH2][CH2][O],[CH2][O][CH2][CH2][O],[CH],[CH][CH2][CH2],[CH]=[CH][CH2],[CH][CH2][CH2][CH2][CH2],[CH2][CH]=[CH][CH2][CH2],[C][CH]([OH])[CH]([OH])[CH]([CH])[OH],[CH][C](=[O])[O],[C][NH][CH]1[CH2][CH2][O][C]1=[O],[NH][CH]1[C][O][CH2][CH2]1,[C]1[CH][CH2][CH2][O]1,[NH][CH]1[CH2][CH2][O][C]1=[O],[CH2][O][CH]([O][CH])[CH]([CH])[OH],[CH2][CH2][CH2][CH2][S],[CH2][CH2][CH2][CH2][CH3],[C][N]([CH3])[CH2],[CH3][N],[CH][CH2][N]([CH3])[C]([CH2])=[O],[CH2][CH]([OH])[CH]([OH])[CH]([CH])[OH],[Br-],[CH2][CH2][CH2][CH2][N+],[Cl-],[Na+],[CH][C](=[O])[O-],[CH2][S](=[O])(=[O])[O-],[CH2][CH2][CH2][O][S],[CH2][CH]([CH2])[CH2],[CH2][CH2][CH2][CH]([CH2])[CH2],[CH2][CH2][CH2][C](=[O])[O-],[CH2][CH2][C](=[O])[O-],Fold,[CH][S][CH2],[CH3][CH2][CH2][CH2][O],[OH],[CH2][CH2][CH2][CH2][CH],[CH2][CH]([OH])[CH2][OH],[CH2][CH2][CH2][O][CH2],[C][C]([F])([F])[F],[C][NH][CH],[O]=[C]1[CH][CH2][CH2][O]1,[CH2][CH]([OH])[CH]([OH])[CH]([CH2])[OH],[CH2][CH2][C](=[O])[O][CH2],[CH2][CH2][N+]([CH3])([CH3])[CH2][CH2],[CH2][CH2][CH2][S](=[O])(=[O])[O-],[C][CH]([S])[CH2][CH2][CH2],[CH2][CH2][CH]([C](=[O])[O])[S](=[O])(=[O])[O-],[CH2][CH2][OH],[CH2][CH2][CH2][CH]([CH2])[OH],[CH2][CH2][CH]([OH])[CH2][CH2],[CH2][CH]([OH])[CH2][CH2][OH],[CH][CH2][CH2][OH],[CH2][C]([CH2])=[O],[CH2][CH2][CH2][C]([CH2])=[O],[C][CH2][C](=[O])[CH2][CH2],[CH2][C](=[O])[CH2][C]([NH])=[O],[C][CH2][C](=[O])[NH][CH],[CH2][CH2][C](=[O])[NH][CH],[CH][CH2][CH3],[CH][O][CH]([CH]([CH2])[O])[CH]([CH])[OH],[CH][O][CH]([CH2][OH])[CH]([CH])[O],[CH][C]([N])=[O],[CH2][CH2][CH2][CH2][N],[C][N]([CH3])[CH2][CH2][CH2],[CH][CH]([OH])[C](=[O])[N]([CH2])[CH3],[CH][CH]([OH])[CH]([OH])[C]([N])=[O],[C][CH2][S],[CH2][O][C](=[O])[CH2][S],[O]=[C]([O])[CH2][S](=[O])(=[O])[O-],[C][CH2][S](=[O])(=[O])[O-],[C][CH]([CH2])[NH],[C][CH]([CH2])[NH][C]([CH2])=[O],[N+],[CH3][N+],[CH3][CH2][CH2][CH2][CH2],[S],[C][CH2][N+],[C][CH2][N+]([CH3])([CH3])[CH2][CH2],[CH2][N+]([CH3])([CH3])[CH2][C](=[O])[O-],[N+][CH2][C](=[O])[O-],[CH2][C]([N])=[O],[CH2][O][CH2][CH]([CH])[OH],[CH][CH]([OH])[CH]([OH])[CH2][O],[CH][CH2][O],[CH][O][CH]([O][CH2])[CH]([CH])[OH],[CH][CH2][O][CH]([CH])[O],[CH3][CH]([CH3])[CH2],[CH2][O][S]
0,-0.24759795234206336,-0.08826802185111586,-0.01933678720542839,-0.019336787205428294,-0.07047514689639811,-0.4654139862166394,-0.2521336571942714,-0.048462748975382,-0.570126000985421,-0.13292266472795955,-0.11376503028679949,-0.02239113336209462,-0.13564039068866962,-0.09135697716546229,-0.0032798233106955538,-0.09507464856782527,-0.09507464856782527,-0.04893090543189671,-0.013240886277037622,0.005896682375291416,-0.01316033865071678,-0.07067073729956294,-0.01933678720542839,-0.01933678720542839,-0.01933678720542839,-0.07067073729956294,-0.01933678720542839,-0.01933678720542839,-0.01933678720542839,-0.01933678720542839,-0.01933678720542839,-0.01933678720542839,-0.01933678720542839,-0.01933678720542839,-0.01933678720542839,-0.01933678720542839,-0.01933678720542839,-0.01933678720542839,-0.01609598913992473,-0.01609598913992473,-0.01609598913992473,-0.06106657123220938,-0.01609598913992473,-0.11175705242943917,0.007620687797887937,-0.058117332438448355,-0.058117332438448355,-0.058117332438448355,-0.058117332438448355,-0.027961708905650612,0.0801721804767804,-0.060748586551344574,-0.0044142293817689415,-0.0044142293817689415,-0.0044142293817689415,0.06539805693232466,0.14397775107394317,0.07330021251812129,0.1602124101864625,0.07850793687976199,0.07217852507473305,0.06265372893401398,0.08653163982222756,-0.032862828215577004,-0.02955152700516666,0.04343781315290529,0.04343781315290529,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,-0.2610551039258244,-0.08066488483563536,-0.01747386450552768,-0.01747386450552757,-0.0738516906029339,-0.4589247815017733,-0.22296734271833296,-0.053385515771723846,-0.5750755955588458,-0.15516226725390303,-0.09261766541729857,-0.01715205237563288,-0.1335143387536671,-0.08488922300138592,0.003465527546409941,-0.08581890579287617,-0.08581890579287617,-0.04698835203818001,-0.024468986681298557,0.030072347486509166,-0.010691970312261673,-0.07839157034971073,-0.01747386450552768,-0.01747386450552768,-0.01747386450552768,-0.07839157034971073,-0.01747386450552768,-0.01747386450552768,-0.01747386450552768,-0.01747386450552768,-0.01747386450552768,-0.01747386450552768,-0.01747386450552768,-0.01747386450552768,-0.01747386450552768,-0.01747386450552768,-0.01747386450552768,-0.01747386450552768,-0.013124682726260516,-0.013124682726260516,-0.013124682726260516,-0.09437930736017622,-0.013124682726260516,-0.12003827192353958,-0.029957034855511877,-0.05050515176942305,-0.05050515176942305,-0.05050515176942305,-0.05050515176942305,-0.028984241286444237,0.08346594836952151,,-0.0008086968654827942,-0.0008086968654827942,-0.0008086968654827942,0.05376620555579461,0.16640185914068115,0.05507219935766727,0.16646896795271102,0.08090673057851883,0.077919184197002,0.06693312667505963,0.07469141202805206,-0.0061931404490327,-0.04875164868802262,0.04590122022680132,0.04590122022680132,1,-0.047152561021684636,0.05745667246815215,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,-0.12159760862276761,-0.06325595925538358,-0.018871180184255043,-0.018871180184255126,-0.02473087362086259,-0.5310100075531956,-0.21063402332206463,,-0.605272150231367,-0.13122028247146222,-0.03648416009502564,-0.03126885070676112,-0.17342560058512638,-0.11727004415394546,-0.027291792710526966,-0.05677328128059969,-0.05677328128059969,-0.05227481257050276,-0.05057843583217811,0.007912708600049737,-0.03915260009825289,-0.06504217939848417,-0.018871180184255043,-0.018871180184255043,-0.018871180184255043,-0.06504217939848417,-0.018871180184255043,-0.018871180184255043,-0.018871180184255043,-0.018871180184255043,-0.018871180184255043,-0.018871180184255043,-0.018871180184255043,-0.018871180184255043,-0.018871180184255043,-0.018871180184255043,-0.018871180184255043,-0.018871180184255043,-0.01643613154814677,-0.01643613154814677,-0.01643613154814677,-0.12338547033267075,-0.01643613154814677,-0.11909727979428311,,-0.061125983077940926,-0.061125983077940926,-0.061125983077940926,-0.061125983077940926,-0.07429970014283649,0.04697260783465931,-0.021753539276169687,,,,0.05150578795909902,0.14887318145592096,0.07349380942962752,0.152728845321753,0.054577525522453374,0.06380867830225573,0.04940583213246719,0.07930684669228599,,,0.04066976814619145,0.04066976814619144,2,,0.028616581718942,-0.022354900098156633,-0.073602229044118,-0.048229703935148166,-0.08750338747645642,-0.0631564180278568,0.02795883588923659,-0.04830876209850278,-0.09224508027648738,-0.00520367850594966,0.013197143701177597,0.04235903542316488,0.05446881253070984,0.05446881253070984,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3,-0.22649336539114598,-0.08077386186113744,-0.019798288029533262,-0.019798288029533262,-0.028954210839914146,-0.48881601926375406,-0.21124544203702444,-0.06311448036118847,-0.5873557356714956,-0.12026231023962161,-0.102152639025061,-0.031402175437721044,-0.14198049265951052,-0.059738031028899755,-0.0015760453677331199,-0.08487108297886511,-0.08487108297886511,-0.0421663061587807,-0.02196975980766594,0.0233887568997007,,-0.07414037116089961,-0.019798288029533262,-0.019798288029533262,-0.019798288029533262,-0.07414037116089961,-0.019798288029533262,-0.019798288029533262,-0.019798288029533262,-0.019798288029533262,-0.019798288029533262,-0.019798288029533262,-0.019798288029533262,-0.019798288029533262,-0.019798288029533262,-0.019798288029533262,-0.019798288029533262,-0.019798288029533262,-0.0144387547162882,-0.0144387547162882,-0.0144387547162882,-0.07955189971350367,-0.0144387547162882,-0.023765641533324486,,-0.06571915664690076,-0.06571915664690076,-0.06571915664690076,-0.06571915664690076,,0.060298399048789725,-0.0575905982821419,,,,0.04304685090050407,0.15763086608106824,0.09948445772662777,0.16742141314686998,0.07405138328617436,0.05118686564610475,0.030785052183190276,0.09448991757969001,-0.04728860128769522,-0.01798949881105749,0.04032461612904963,0.04032461612904963,3,,0.035545767367189035,-0.100968366093451,,,,,0.06021790409761013,,,,,0.0566347409647554,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,-0.12273906611617572,-0.08009338252951047,-0.026369325218496747,-0.026369325218496678,-0.11229281437812538,-0.4921676337338208,-0.21765352482243705,-0.05836777659216347,-0.609987781515805,-0.10425607232460013,,-0.08073711974596079,-0.08073711974596079,-0.06849211377909267,-0.028439061757943446,-0.09314702702156454,-0.09314702702156454,-0.04319503928039513,-0.005453929459657336,0.051928167869277814,,,-0.026369325218496747,-0.026369325218496747,-0.026369325218496747,,-0.026369325218496747,-0.026369325218496747,-0.026369325218496747,-0.026369325218496747,-0.026369325218496747,-0.026369325218496747,-0.026369325218496747,-0.026369325218496747,-0.026369325218496747,-0.026369325218496747,-0.026369325218496747,-0.026369325218496747,-0.018346582051168403,-0.018346582051168403,-0.018346582051168403,-0.09692827370118584,-0.018346582051168403,-0.1330294853363015,,-0.05820907439387746,-0.05820907439387746,-0.05820907439387746,-0.05820907439387746,,0.0761573355209812,,-0.006147920933248063,-0.006147920933248063,-0.006147920933248063,0.06647766470791788,0.16061121538358047,0.05694973023347064,0.13575335096881674,0.087931137545998,0.0671881106172439,0.06646088203052403,0.063728566822844,-0.042215021277766926,-0.05168220176360371,0.050685700144025764,0.05068570014402579,4,-0.082549080565687,,,,,-0.09538266202861619,,,,,,,,,,0.024384821573726373,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5,-0.2729747188361057,-0.07172367977529803,-0.020788359362594988,-0.020788359362595044,-0.05300435453915092,-0.4468653510934054,-0.14018413843236044,-0.05301959456229083,-0.5377498495901492,-0.12661105147741342,,-0.04922121146717548,-0.19762560005879776,-0.020162005564928698,-0.0034734912351794545,,,-0.09456272032720456,-0.11024552187711889,0.07933857608000931,0.04406895641042087,,-0.013056156062044133,-0.020788359362594988,-0.020788359362594988,,-0.020788359362594988,-0.020788359362594988,-0.020788359362594988,-0.020788359362594988,-0.020788359362594988,-0.020788359362594988,-0.020788359362594988,-0.020788359362594988,-0.020788359362594988,-0.020788359362594988,-0.020788359362594988,-0.020788359362594988,-0.009432830499013639,-0.009432830499013639,-0.009432830499013639,-0.07573960072669061,-0.009432830499013639,-0.16218839107827826,,-0.013056156062044133,-0.013056156062044133,-0.013056156062044133,-0.013056156062044133,-0.04723031670246636,0.08211250095398892,,-0.020162005564928698,-0.020162005564928698,-0.020162005564928698,0.08890779415510333,0.15070442632681227,0.06254965912584366,0.15382072600644647,0.05781349483492214,,0.05270478205360485,0.06839264896706565,,,0.05242310607697792,0.05242310607697792,5,-0.07573960072669061,0.04642106952895984,-0.1162823464738239,,,,,,,,,,,,,,-0.013096059984877173,-0.007633961532912736,-0.007633961532912736,-0.007633961532912736,-0.013056156062044133,-0.013056156062044133,-0.013056156062044133,-0.013056156062044133,-0.013056156062044133,0.08649833714328761,-0.063136631648092,-0.026934989211154947,-0.026934989211154947,-0.0034734912351794545,-0.0034734912351794545,-0.0034734912351794545,-0.0034734912351794545,-0.0034734912351794545,0.008543095774510817,0.008543095774510817,0.008543095774510817,0.008543095774510817,,,,,,,,,,,,,,,,,,
6,-0.4654447525546015,-0.16069367947759594,-0.01531348261374088,-0.01531348261374088,-0.18591972174354998,-0.5217795287132845,-0.27328139626249515,-0.044974688083994074,-0.5668847745007795,-0.2583517291940437,-0.24005969520154546,0.1367442381345607,-0.2403393456181815,-0.28078563960449987,0.09465259747063526,-0.1689287795302732,-0.1689287795302732,0.017586845477597646,0.055547953412649176,0.07910495954738661,,-0.11287066129818335,-0.01531348261374088,-0.01531348261374088,-0.01531348261374088,-0.11287066129818335,-0.01531348261374088,-0.01531348261374088,-0.01531348261374088,-0.01531348261374088,-0.01531348261374088,-0.01531348261374088,-0.01531348261374088,-0.01531348261374088,-0.01531348261374088,-0.01531348261374088,-0.01531348261374088,-0.01531348261374088,,,,-0.08831893906599309,,-0.05324303525703583,,-0.03445973571940808,-0.03445973571940808,-0.03445973571940808,-0.03445973571940808,-0.036744795735575764,0.061074469629970984,-0.06989118606293876,0.052319735366146425,0.052319735366146425,0.052319735366146425,0.06526139345765625,0.1462452698124045,0.14406823720068207,0.15831904488164783,0.11455615329375896,,0.025839746160621235,0.04247045752597067,0.029747851938872305,-0.08675874635707032,0.030588774947889696,0.030588774947889696,6,0.044208900525338324,0.04053980182545741,,,,,,,,,,,,,,,,0.0003229503748523044,0.0003229503748523044,0.0003229503748523044,,,,,,,,-0.018441917960044574,-0.018441917960044574,,,,,,,,,,-0.03445973571940808,-0.03445973571940808,-0.037181762785396755,-0.10075256780658548,,,,,,,,,,,,,,
7,-0.13747125871459884,-0.07905148057537456,-0.019526244494842027,-0.019526244494842124,-0.06246149840485236,-0.5327408125544592,-0.19784708392195002,,-0.5753811578709722,-0.09477176025952365,-0.018196605586127075,0.01497249710909345,-0.13901824311110494,-0.06569348088053942,-0.02844252338071286,-0.09626412404998244,-0.09626412404998244,-0.04787909428360984,-0.0008973249665972932,0.04061374944346856,-0.027825070679138676,-0.0780319986636554,-0.019526244494842027,-0.019526244494842027,-0.019526244494842027,-0.0780319986636554,-0.019526244494842027,-0.019526244494842027,-0.019526244494842027,-0.019526244494842027,-0.019526244494842027,-0.019526244494842027,-0.019526244494842027,-0.019526244494842027,-0.019526244494842027,-0.019526244494842027,-0.019526244494842027,-0.019526244494842027,,,,-0.023916987153911246,,-0.05439392772312526,,-0.06442748457064837,-0.06442748457064837,-0.06442748457064837,-0.06442748457064837,-0.051913723403501366,0.07265588750333546,-0.04620011102015525,,,,0.05513618392665623,0.15035359167905682,0.07866222612277274,0.16480028486895043,0.08352799732728938,0.041736010455053915,0.0471524605151544,0.06944235563829709,-0.0442025706114068,-0.06358509919800268,0.030003152998154835,0.030003152998154835,7,,0.04519462642937225,-0.05297254976440383,,,-0.11064456072405665,,0.05725672161609924,-0.06547809071744895,,,,,,,,-0.06658610563985412,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
8,-0.14568488472950286,-0.12401423276487364,-0.016656531960339283,-0.01665653196033931,-0.01123030567270658,-0.5028584361767613,-0.17243380342095077,-0.0764369593797703,-0.5692171283152828,-0.13150514147116346,-0.08586418768105034,-0.023857463896102216,-0.13037736736030658,-0.08294808743279365,-0.016864913750715117,,,,-0.05812761355827567,0.030874783756433058,,,-0.016656531960339283,-0.016656531960339283,-0.016656531960339283,-0.10248173559625398,-0.016656531960339283,-0.016656531960339283,-0.016656531960339283,-0.016656531960339283,-0.016656531960339283,-0.016656531960339283,-0.016656531960339283,-0.016656531960339283,-0.016656531960339283,-0.016656531960339283,-0.016656531960339283,-0.016656531960339283,-0.014832110913112845,-0.014832110913112845,-0.014832110913112845,-0.07980999987988388,-0.014832110913112845,-0.13875305403157567,0.020439546990125568,-0.0726870539673018,-0.0726870539673018,-0.0726870539673018,-0.0726870539673018,-0.012619749732265803,0.10396968722259611,,,,,0.06142840541376808,0.1643757995505092,0.06511823167780367,0.15929201858505512,0.073491198030886,0.05508748414377897,0.05277197237156106,0.10162905903342356,,-0.07127471305082143,0.05302562748477477,0.05302562748477477,8,,,,,,,,0.06378242071732984,,,,,,,,-0.015041725874465589,,,,,,,,,,,,-0.021504692951451666,-0.021504692951451666,,,,,,,,,,,,,,0.07428429633459396,-0.1009973165928073,-0.005790861994156425,-0.005790861994156425,-0.005790861994156425,-0.005790861994156425,,,,,,,,
9,0.005911283255820909,-0.2968455177555753,,,-0.17021087331179174,-0.6068049707068064,-0.313623442830273,-0.0747377873901014,-0.8078637067123041,-0.13149738543135325,-0.04377141838612264,,-0.34258210175715786,,-0.019306131278709837,,,,-0.09668901939138635,,,-0.10705573975293436,-0.0811603107964447,-0.0811603107964447,-0.0811603107964447,-0.10705573975293436,,,,,,,,,,,,,-0.03871387857765329,-0.03871387857765329,,-0.16873201111841007,,-0.07865096772116986,,-0.08227670935439502,-0.08227670935439502,-0.08227670935439502,,-0.051789555222939265,0.0718979618793949,,,,,0.03641813452328796,0.16662553206769815,0.09343556812388476,0.1522787423145382,0.01612591266604868,0.05954380792430569,,0.07497329809276332,,,0.047000162094942954,0.047000162094942954,9,,,,,,,,,,-0.0939434818115309,,,0.08305520630870478,0.07449919275230887,0.07449919275230887,,,,,,,,,,,,-0.0573301703029091,,,,,,,,0.025157321120505838,0.025157321120505838,,,,,,,,,,,,,-0.0700206491145332,-0.03960414209841984,-0.03960414209841984,-0.025508031528081898,0.04000211488991151,0.04000211488991151,0.07102340758754466,0.05274428034527534
